episode,reward,smoothed_reward
1155,8.0415,7.6413
1156,7.0884,7.6381
1157,7.622,7.6349
1158,7.7403,7.6336
1159,7.9909,7.6316
1160,7.5233,7.6408
1161,8.4825,7.6477
1162,7.8224,7.6534
1163,8.7946,7.6584
1164,7.7126,7.6571
1165,7.827,7.6435
1166,7.5448,7.6447
1167,8.4281,7.654
1168,7.9599,7.6473
1169,6.6733,7.6357
1170,7.8742,7.645
1171,8.1057,7.6343
1172,7.5486,7.6293
1173,7.7554,7.6298
1174,7.2626,7.621
1175,7.9311,7.6267
1176,7.8576,7.6294
1177,8.0994,7.626
1178,7.1864,7.6086
1179,8.4435,7.6111
1180,8.0732,7.6238
1181,7.0763,7.6217
1182,7.2593,7.6183
1183,7.6435,7.6208
1184,7.9061,7.6319
1185,7.0198,7.6366
1186,6.4403,7.6218
1187,7.9277,7.6304
1188,7.5542,7.6181
1189,7.5214,7.6181
1190,7.6966,7.6387
1191,7.7921,7.6421
1192,7.9545,7.6516
1193,7.9646,7.6499
1194,8.0286,7.6546
1195,6.7341,7.6508
